,SpeciesID,Phylum,CLASS,Order,FAMILY,Genus,SPECIES_NAME,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,a,b,cf,SGFGu,Notes
190,NA,NA,NA,NA,NA,NA,NA,NA,Lactophrys triqueter,0.0295,3,1,G,NA
191,NA,NA,NA,NA,NA,NA,NA,NA,Bothus lunatus,0.009,3.099,1,G,NA
192,NA,NA,NA,NA,NA,NA,NA,NA,Monacanthus ciliatus,0.0074,3.561,1,S,NA
193,NA,NA,NA,NA,NA,NA,NA,NA,Callionymus bairdi,0.014,2.709,1,G,NA
194,NA,NA,NA,NA,NA,NA,NA,NA,Archosargus probatocephalus,0.0429,2.801,0.946073794,F,NA
195,NA,NA,NA,NA,NA,NA,NA,NA,Eucinostomus gula,0.0147,3.12,0.821692687,F,NA
196,NA,NA,NA,NA,NA,NA,NA,NA,Xyrichtys martinicensis,0.0481,2.243,1,G,NA
197,NA,NA,NA,NA,NA,NA,NA,NA,Acanthemblemaria,0.0063,3.217,1,G,NA
198,NA,NA,NA,NA,NA,NA,NA,NA,Emblemariopsis,0.0064,3.09,1,Gu,NA
199,NA,NA,NA,NA,NA,NA,NA,NA,Euthynnus alletteratus,0.0138,3.035,0.933706816,G,NA
200,NA,NA,NA,NA,NA,NA,NA,NA,Labrisomus,0.0092,2.911,1,F,NA
201,NA,NA,NA,NA,NA,NA,NA,NA,Syacium micrurum,0.0085,3.08,1,S,NA
,,,,,,,,,Acanthurus tractus,0.0415,2.835,0.928936368,G,manuallly substituted A. coeruleus
,,,,,,,,,Ablennes hians,0.00055,3.226,1,S,mean from fishbase
,,,,,,,,,Bothus ocellatus,0.009,3.099,1,G,Bothus spp. from RSS
,,,,,,,,,Diplogrammus pauciradiatus,0.014,2.709,1,G,both Diplogrammus spp. in RSS have same coefficients
,,,,,,,,,Caranx ruber,0.034,2.84,0.870574579,G,Used RSS value
,,,,,,,,,Trachinotus falcatus,0.030178,2.9336,1,S,mean from fishbase
,,,,,,,,,Dasyatis centroura,0.0739,2.81,0.571428571,G,"Used southern stingray from RSS, similar body type"
,,,,,,,,,Elacatinus lobeli,0.0092,3.017,1,G,Used Elactainus spp. from RSS
,,,,,,,,,Xyrichtys splendens,0.012425,3.0295,1,S,mean from fishbase
,,,,,,,,,Halichoeres cyanocephalus,0.0095,3.131,1,G,used H. pictus from RSS
,,,,,,,,,Bodianus pulchellus,0.0187,3.12,1,S,mean from fishbase
,,,,,,,,,Lutjanus buccanella,0.018507778,2.943444444,1,S,mean from fishbase
,,,,,,,,,Lutjanus cyanopterus,0.31606,3.033,1,S,mean from fishbase
,,,,,,,,,Lactophrys trigonus,0.1964,2.5915,1,S,mean from fishbase
,,,,,,,,,Diplectrum bivittatum,0.009,3.1,1,G,only other Diplectrum sp. in RSS
