...1,location_name,diver,buddy,orig_lat,orig_lon,sample_collection_date,year,visibility_m,direction,depth_m,method,block,taxon_id,scientific_name,habitat,transect_decimal_latitude,transect_decimal_longitude,event,orig_scientific_name,rank,kingdom,phylum,class,order,family,genus,size_class,size_count
421,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sis,Scarus iseri,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,7.5,3
422,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sis,Scarus iseri,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,2.5,6
422,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sis,Scarus iseri,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,5,50
422,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sis,Scarus iseri,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,7.5,20
422,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sis,Scarus iseri,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,10,1
422,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sis,Scarus iseri,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,12.5,1
422,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sis,Scarus iseri,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,15,2
423,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sve,Scarus vetula,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Scarus vetula,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,15,1
424,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sti,Serranus tigrinus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Serranus tigrinus,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,5,1
424,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sti,Serranus tigrinus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Serranus tigrinus,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,7.5,2
425,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sti,Serranus tigrinus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Serranus tigrinus,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,5,2
426,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sat,Sparisoma atomarium,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma atomarium,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,2
427,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,2.5,10
427,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,18
427,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,7.5,5
427,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,10,2
428,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,2.5,12
428,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,26
428,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,7.5,9
428,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,10,3
428,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,12.5,2
428,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sau,Sparisoma aurofrenatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,15,2
429,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sch,Sparisoma chrysopterum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma chrysopterum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,20,1
430,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sra,Sparisoma radians,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma radians,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,2.5,4
430,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sra,Sparisoma radians,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma radians,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,7
431,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,svi,Sparisoma viride,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,2.5,1
431,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,svi,Sparisoma viride,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,2
431,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,svi,Sparisoma viride,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,7.5,1
432,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,svi,Sparisoma viride,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,2.5,8
432,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,svi,Sparisoma viride,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,2
432,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,svi,Sparisoma viride,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,7.5,1
433,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sad,Stegastes adustus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes adustus,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,35
434,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sad,Stegastes adustus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes adustus,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,9
435,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,spa,Stegastes partitus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes partitus,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,100
436,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,spa,Stegastes partitus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes partitus,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,2.5,20
436,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,spa,Stegastes partitus,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes partitus,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,105
437,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,spl,Stegastes planifrons,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes planifrons,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,2.5,2
437,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,spl,Stegastes planifrons,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes planifrons,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,16
438,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,spl,Stegastes planifrons,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes planifrons,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,2.5,3
438,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,spl,Stegastes planifrons,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes planifrons,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,13
439,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,sva,Stegastes variabilis,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes variabilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,3
440,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,sva,Stegastes variabilis,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Stegastes variabilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,5
444,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,Hsch,Styracura schmardae,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Himantura schmardae,Species,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Himantura,150,1
445,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,tbi,Thalassoma bifasciatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Thalassoma bifasciatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,2.5,4
445,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,tbi,Thalassoma bifasciatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Thalassoma bifasciatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,5,34
445,Curlew Patch Reef,Scott Jones,Zach Foltz,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,1,tbi,Thalassoma bifasciatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Thalassoma bifasciatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,7.5,6
446,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,tbi,Thalassoma bifasciatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Thalassoma bifasciatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,2.5,5
446,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,tbi,Thalassoma bifasciatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Thalassoma bifasciatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,5,41
446,Curlew Patch Reef,Zach Foltz,Scott Jones,16.78,-88.10123,9/22/2015,2015,10,NE,5,1,2,tbi,Thalassoma bifasciatum,Patch Reef,16.78,-88.1012,Curlew Patch Reef_2015,Thalassoma bifasciatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,7.5,12
452,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,cdi,Coryphopterus dicrus,Sand,16.78734,-88.0938,Curlew Sand_2015,Coryphopterus dicrus,Species,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,2.5,2
453,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,cdi,Coryphopterus dicrus,Sand,16.78734,-88.0938,Curlew Sand_2015,Coryphopterus dicrus,Species,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,2.5,2
454,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,cdi,Coryphopterus dicrus,Sand,16.78734,-88.0938,Curlew Sand_2015,Coryphopterus dicrus,Species,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Coryphopterus,2.5,2
455,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,5,7
456,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,2.5,5
456,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,5,7
456,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,7.5,5
457,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,2.5,5
457,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,5,7
457,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,7.5,5
458,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,2.5,5
458,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,5,7
458,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,crs,Cryptotomus roseus,Sand,16.78734,-88.0938,Curlew Sand_2015,Cryptotomus roseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Cryptotomus,7.5,5
459,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,dbi,Diplectrum bivittatum,Sand,16.78734,-88.0938,Curlew Sand_2015,Diplectrum bivittatum,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Diplectrum,2.5,1
477,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,phe,Ptereleotris helenae,Sand,16.78734,-88.0938,Curlew Sand_2015,Ptereleotris helenae,Species,Animalia,Chordata,Actinopteri,Perciformes,Microdesmidae,Ptereleotris,2.5,2
478,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,sbl,Serranus baldwini,Sand,16.78734,-88.0938,Curlew Sand_2015,Serranus baldwini,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,5,1
479,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,sbl,Serranus baldwini,Sand,16.78734,-88.0938,Curlew Sand_2015,Serranus baldwini,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,5,1
480,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,sbl,Serranus baldwini,Sand,16.78734,-88.0938,Curlew Sand_2015,Serranus baldwini,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,5,1
481,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,sti,Serranus tigrinus,Sand,16.78734,-88.0938,Curlew Sand_2015,Serranus tigrinus,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Serranus,5,1
484,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,2.5,2
484,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,5,5
484,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,7.5,4
485,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,5,10
485,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,7.5,8
485,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,10,3
485,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,12.5,2
485,Curlew Sand,Scott Jones,Zach Foltz,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,1,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,15,2
486,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,5,10
486,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,7.5,8
486,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,10,3
486,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,12.5,2
486,Curlew Sand,Scott Jones,Scott Jones,16.78734,-88.09379,9/20/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,15,2
487,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,5,10
487,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,7.5,8
487,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,10,3
487,Curlew Sand,Zach Foltz,Scott Jones,16.78734,-88.09379,9/21/2015,2015,25,SW,7,1,2,xsp,Xyrichtys splendens,Sand,16.78734,-88.0938,Curlew Sand_2015,Xyricthys splendens,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Xyrichtys,12.5,2
